zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
14001053,CO,Colorado,"161 Stillwater Dr, Aspen, CO 81611",161 Stillwater Dr,Aspen,81611,300000000,"$300,000,000",18,24,27426,39.176163,-106.80337,House for sale,SINGLE_FAMILY,170,NA,https://www.zillow.com/homedetails/161-Stillwater-Dr-Aspen-CO-81611/14001053_zpid/,FALSE,NA,FALSE,CO
14050269,CO,Colorado,"478 N Iliff Dr, Pueblo West, CO 81007",478 N Iliff Dr,Pueblo West,81007,260000,"$260,000",5,2,1632,38.34681,-104.696304,House for sale,SINGLE_FAMILY,96,NA,https://www.zillow.com/homedetails/478-N-Iliff-Dr-Pueblo-West-CO-81007/14050269_zpid/,FALSE,NA,FALSE,CO
13905079,CO,Colorado,"422 E Pitkin St, Fort Collins, CO 80524",422 E Pitkin St,Fort Collins,80524,710000,"$710,000",3,2,1830,40.571316,-105.07061,House for sale,SINGLE_FAMILY,4,NA,https://www.zillow.com/homedetails/422-E-Pitkin-St-Fort-Collins-CO-80524/13905079_zpid/,FALSE,NA,FALSE,CO
147455166,CO,Colorado,"1482 Moraine Valley Dr, Severance, CO 80550",1482 Moraine Valley Dr,Severance,80550,495000,"$495,000",4,3,2864,40.501225,-104.86716,House for sale,SINGLE_FAMILY,2,492800,https://www.zillow.com/homedetails/1482-Moraine-Valley-Dr-Severance-CO-80550/147455166_zpid/,FALSE,NA,FALSE,CO
13834399,CO,Colorado,"7964 S Estes Court, Littleton, CO 80128",7964 S Estes Court,Littleton,80128,600000,"$600,000",4,2,2522,39.572323,-105.09678,House for sale,SINGLE_FAMILY,6,619000,https://www.zillow.com/homedetails/7964-S-Estes-Ct-Littleton-CO-80128/13834399_zpid/,TRUE,2026-02-08T12:00:00Z,FALSE,CO
444233322,CO,Colorado,"2955 Inca Street #4K, Denver, CO 80202",2955 Inca Street #4K,Denver,80202,695000,"$695,000",3,2,1593,39.75934,-104.99866,Coming soon,CONDO,1,NA,https://www.zillow.com/homedetails/2955-Inca-St-UNIT-4K-Denver-CO-80202/444233322_zpid/,FALSE,NA,FALSE,CO
12940801,CO,Colorado,"719 Walnut Street, Brighton, CO 80601",719 Walnut Street,Brighton,80601,399900,"$399,900",4,2,3506,39.988815,-104.813515,House for sale,SINGLE_FAMILY,100,NA,https://www.zillow.com/homedetails/719-Walnut-St-Brighton-CO-80601/12940801_zpid/,FALSE,NA,FALSE,CO
61433637,CO,Colorado,"274 Delaware Street, Denver, CO 80223",274 Delaware Street,Denver,80223,435000,"$435,000",2,1,1075,39.720684,-104.992676,House for sale,SINGLE_FAMILY,9,426200,https://www.zillow.com/homedetails/274-Delaware-St-Denver-CO-80223/61433637_zpid/,FALSE,NA,FALSE,CO
13704788,CO,Colorado,"6611 W 74th Avenue, Arvada, CO 80003",6611 W 74th Avenue,Arvada,80003,725000,"$725,000",4,4,2530,39.830822,-105.07045,Coming soon,SINGLE_FAMILY,1,NA,https://www.zillow.com/homedetails/6611-W-74th-Ave-Arvada-CO-80003/13704788_zpid/,FALSE,NA,FALSE,CO
13653576,CO,Colorado,"6085 Red Hill Cir, Colorado Springs, CO 80919",6085 Red Hill Cir,Colorado Springs,80919,525000,"$525,000",4,4,2378,38.920853,-104.837456,House for sale,SINGLE_FAMILY,9,NA,https://www.zillow.com/homedetails/6085-Red-Hill-Cir-Colorado-Springs-CO-80919/13653576_zpid/,FALSE,NA,FALSE,CO
